UF,RAMO_SUSEP,CLASSIFICACAO_RISCO,INTENSIDADE_SINISTRO,IDADE_MAQUINA_ANOS,ACESSORIOS_SEGURADOS,PREMIO_LIQUIDO_BRL,VALOR_INDENIZADO_BRL,MTBF_HORAS,VENTO_MEDIO_MS,CHUVA_MM_ANUAL,TEMP_AMBIENTE_C,TEMP_MAQUINA_C
GO,0622 - Penhor Rural,Baixo,Grave,7,5,413436.65,481324.21,3500,3.9,1545,25.6,66.2
MS,0621 - Agrícola,Alto,Leve,4,8,90460.08,417990.06,4000,4.1,1438,26.3,82.9
SP,0622 - Penhor Rural,Crítico,Moderado,13,1,630594.31,347987.1,8667,3.5,1452,20.3,87.8
MT,0621 - Agrícola,Baixo,Grave,11,4,257565.55,204476.47,5500,5.0,1698,24.9,69.7
MG,0631 - Benfeitorias,Baixo,Grave,8,11,160225.92,86647.16,4000,3.0,1335,24.5,73.8
MS,0621 - Agrícola,Alto,Leve,13,2,54561.98,78218.52,13000,4.0,1444,26.2,81.1
MT,0621 - Agrícola,Alto,Grave,5,3,453397.38,125121.45,2500,5.1,1693,26.0,87.0
MT,0635 - Florestas,Baixo,Leve,7,9,516234.16,274613.33,7000,4.4,2080,26.2,67.9
BA,0622 - Penhor Rural,Baixo,Grave,10,5,37026.18,357297.96,5000,4.1,971,28.6,66.8
MT,0621 - Agrícola,Baixo,Leve,3,11,396267.47,330098.69,3000,4.2,1621,24.8,69.6
SP,0621 - Agrícola,Médio,Leve,7,7,189209.44,139966.95,7000,2.6,1498,23.1,73.9
GO,0635 - Florestas,Médio,Grave,11,0,492750.27,477432.64,5500,3.1,1354,23.6,75.8
SP,0635 - Florestas,Baixo,Leve,11,9,151415.66,368948.46,11000,3.2,1518,21.6,65.2
PR,0622 - Penhor Rural,Médio,Leve,8,7,525929.86,277177.03,8000,2.5,1774,22.2,85.9
MS,0635 - Florestas,Alto,Grave,5,10,305383.13,305860.37,2500,2.8,1277,26.7,85.1
GO,0631 - Benfeitorias,Baixo,Grave,4,6,704129.24,209800.03,2000,3.1,1645,25.6,67.2
